2025-10-20 17:02:36 - Detected 0 | Species: none
2025-10-20 17:02:55 - Detected 0 | Species: none
2025-10-20 17:03:15 - Detected 0 | Species: none
2025-10-20 17:03:57 - Detected 1 animal(s) | Species: no cv result
2025-10-20 17:04:19 - Detected 0 | Species: none
2025-10-20 17:04:41 - Detected 0 | Species: none
2025-10-20 17:05:01 - Detected 0 | Species: none
2025-10-20 17:05:47 - Detected 1 animal(s) | Species: none
2025-10-20 17:06:24 - Detected 1 animal(s) | Species: no cv result
2025-10-20 17:07:00 - Detected 1 animal(s) | Species: capra species
2025-10-20 17:07:37 - Detected 1 animal(s) | Species: oryx species
2025-10-20 17:08:20 - Detected 1 animal(s) | Species: bovidae family
2025-10-20 17:09:19 - Detected 2 animal(s) | Species: animal
2025-10-20 17:10:04 - Detected 2 animal(s) | Species: bos species, coyote
2025-10-20 17:10:42 - Detected 1 animal(s) | Species: bovidae family
2025-10-20 17:11:21 - Detected 1 animal(s) | Species: none
2025-10-20 17:11:58 - Detected 1 animal(s) | Species: none
2025-10-20 17:12:37 - Detected 1 animal(s) | Species: cetartiodactyla order
2025-10-20 17:12:57 - Detected 0 | Species: none
2025-10-20 17:13:35 - Detected 1 animal(s) | Species: no cv result
